Provincia;HUB;FP;LP;ULP;HP;ELP;QP;MQP;FP;LP;ULP;HP;ELP;QP;MQP
MO (Montagna);BO;195,11;171,23;138,81;141,03;124,56;110,43;96,83;180,99;156,45;129,92;130,18;116,59;103,37;90,96
PC;BO;88,2;75,55;61,17;63,53;57,52;53,79;49,54;82,18;68,88;57,25;59,21;53,72;50,51;46,15
PR;BO;87,68;74,9;61,3;63,53;57,39;54,05;50,45;81,4;68,36;57,39;58,82;53,72;51,16;46,67
RA;BO;81,14;69,29;57,39;59,34;53,87;51,44;47,97;75,79;63,4;53,72;55,43;50,72;48,55;44,83
RE;BO;80,36;68,75;56,99;58,95;53,59;51,16;47,84;74,86;62,62;53,2;54,76;50,07;48,29;44,44
RN;BO;83,88;71,77;58,95;60,91;55,43;52,35;48,63;78,14;65,36;55,02;56,73;51,77;49,34;45,35
SM;BO;84,27;72,16;59,21;61,17;55,56;52,48;48,76;78,79;66,14;55,43;57,12;52,16;49,6;45,61
AR;BO;92,06;78,87;63,32;65,87;59,48;55,18;50,59;86,03;72,03;59,17;61,45;55,73;51,84;47,24
FI;BO;78,85;66,45;52,19;54,39;48,42;44,66;40,65;72,95;59,86;48,2;49,99;44,72;41,49;37,23
GR;BO;141,62;102,76;91,71;91,71;79,63;78,31;63,08;137,43;97,27;87,93;88,19;76,75;75,3;59,68
GR (Isole);BO;401,62;310,76;280,21;260,71;209,63;156,31;108,58;397,43;305,27;276,43;257,19;206,75;153,3;105,18
LI;BO;91,79;78,58;63,21;65,54;59,3;55,13;50,58;85,35;71,43;58,82;61,02;55,32;51,57;46,87
LI (Elba);BO;297,37;245,47;211,32;194,05;162,04;119,18;88,8;291,23;238,68;207,15;189,74;158,26;115,77;85,28
LI (Capraia);BO;414,37;320,22;281,2;259,05;204,29;151,68;98,55;408,23;313,43;277,03;254,74;200,51;148,27;95,03
LU;BO;90,57;77,61;62,53;65;58,76;54,71;50,29;84,65;71,01;58,55;60,74;55,05;51,42;46,87
MS;BO;103,19;88,32;69,12;72,68;64,66;58,98;52,92;94,96;79,26;63,76;66,36;59,85;54,86;48,8
PI;BO;92,22;78,98;63,49;65,96;59,57;55,26;50,58;86,72;72,67;59,64;61,97;56;52,11;47,42
PI (Volterra);BO;154,62;134,88;115,49;114,06;105,07;98,16;90,88;149,12;128,57;111,64;110,07;101,5;95,01;87,72
PO;BO;75,72;63,46;50,33;52,35;46,76;43,55;39,88;69,83;57,03;46,33;48,06;43,14;40,59;36,53
PT;BO;88,81;74,9;57,44;60,28;53,18;48,06;43,05;82;67,49;53,01;55,53;49,03;44,48;39,2
SI;BO;93,44;80,08;64,16;66,65;60,12;55,67;50,99;87,26;72,94;59,93;62,25;56,29;52,39;47,55
AN;BO;88,85;76,21;61,56;63,92;57,91;54,05;49,8;83,23;69,81;57,91;59,74;54,39;51,03;46,54
AP;BO;98,13;84,05;66,53;69,42;62,23;57,18;51,76;91,33;76,6;61,95;64,58;58,17;53,52;47,97
FM;BO;94,35;80,92;64,58;67,19;60,52;55,74;51,11;88,59;74,38;60,52;63,01;56,87;52,61;47,45
MC;BO;93,3;79,87;63,92;66,53;60;55,48;50,85;87,29;73,2;60;62,36;56,35;52,22;47,32
PU;BO;87,81;75,29;60,91;63,27;57,39;53,65;49,41;81,92;68,62;57,12;58,95;53,59;50,38;46,15
PG;BO;92;78,83;63,27;65,75;59,35;55,09;50,59;85,98;72,03;59,21;61,43;55,56;51,83;47,19
TR;BO;103,23;88,63;73,99;72,42;64,84;58,5;52,41;96,83;81,7;69,16;67,84;61,06;54,96;49,02
FR;BO;112,91;97,13;80,13;78,31;69,68;62,15;55,3;108,47;91,63;76,34;74,9;66,8;59,02;51,89
